slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,2.5,0.25,2.5,-0.0523615853828765,4.629059343291877e-5,false
0.001,2.5,0.25,5.0,-0.05230125722515293,4.62725015764176e-5,false
0.001,2.5,0.25,10.0,-0.05225090168876648,4.142686814962818e-5,false
0.001,2.5,0.25,20.0,-0.052214812301421616,3.5796630853195956e-5,false
0.001,2.5,0.5,0.001,-0.05221037232172239,3.485364903270021e-5,false
0.001,2.5,0.5,0.5,-0.052438039077740944,4.7458833361204526e-5,false
0.001,2.5,0.5,1.0,-0.05240401015239729,3.97332670478906e-5,false
0.001,2.5,0.5,2.5,-0.052333455618017874,3.767354040021154e-5,false
0.001,2.5,0.5,5.0,-0.05227974638006767,3.7116031721299695e-5,false
0.001,2.5,0.5,10.0,-0.0522375044053449,3.208876599899823e-5,false
0.001,2.5,0.5,20.0,-0.052209196703523454,2.5783368807316887e-5,false
0.001,2.5,0.75,0.001,-0.05220874264509123,3.9927242404397586e-5,false
0.001,2.5,0.75,0.5,-0.052406585317632044,4.8680467706869485e-5,false
0.001,2.5,0.75,1.0,-0.05237343067185763,3.959951108328951e-5,false
0.001,2.5,0.75,2.5,-0.052308502444318616,3.531024889401905e-5,false
0.001,2.5,0.75,5.0,-0.052261233518919564,3.47545416026962e-5,false
0.001,2.5,0.75,10.0,-0.05222580689055273,3.076476533352637e-5,false
0.001,2.5,0.75,20.0,-0.05220343611938539,2.5540932291012232e-5,false
0.001,2.5,1.25,0.001,-0.05220504950133016,4.370801716294619e-5,false
0.001,2.5,1.25,0.5,-0.05235814756999698,5.022313496377175e-5,false
0.001,2.5,1.25,1.0,-0.05232752566547196,3.936189720310998e-5,false
0.001,2.5,1.25,2.5,-0.0522721792952821,3.241608983001513e-5,false
0.001,2.5,1.25,5.0,-0.052234685182926927,3.2188169635149105e-5,false
0.001,2.5,1.25,10.0,-0.05220894895889185,2.9804291880958637e-5,false
0.001,2.5,1.25,20.0,-0.05219459742123096,2.6077192808715985e-5,false
