fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,paramid,prev_pred,prev_sd,final_pred,final_sd
22.csv,115964,c479-052,3,5.0,0.5,0.5,20.0,-0.10876603694191536,252.61869014540002,0.7542718674410767,30,2128,-0.10874653417602241,3.2001575329938707e-5,-0.10876149661145215,7.174261090492897e-6
22.csv,115964,c479-052,4,0.5,0.5,0.25,20.0,-0.1088565221069078,170.8988355748,3.2547783725881416,30,749,-0.10886625868921825,5.645093601654549e-5,-0.10885591770654678,9.857150217599382e-6
22.csv,115964,c479-052,1,5.0,20.0,0.25,0.001,-0.10876657608326029,251.9593912448,0.888126313035755,31,2360,-0.1088254770238243,6.305544437161719e-5,-0.10876730704673825,8.715746081739544e-6
22.csv,115964,c479-052,2,5.0,20.0,0.5,0.001,-0.10876756441508269,282.46946580499997,0.9140307000331426,31,2367,-0.1087991517824187,4.3876286990629e-5,-0.10876599563258814,7.712176906392986e-6
22.csv,115964,c479-052,3,1.25,2.5,2.5,1.0,-0.10876858563662982,76.4219126534,1.3072299662046012,31,1557,-0.10877122167445646,1.1725132483811455e-5,-0.1087695519725538,7.018629519790696e-6
22.csv,115964,c479-052,4,1.25,20.0,2.5,0.5,-0.10877650779202619,139.62567031720002,2.6771279174092557,31,1703,-0.10876731849184967,2.0934701418526847e-5,-0.10877260130436521,8.255805526626277e-6
22.csv,115964,c479-052,1,0.25,0.5,2.5,0.5,-0.10893455867117878,163.5380291748,1.2312023560662024,32,429,-0.10885550765235967,4.0740081279426975e-5,-0.10892743335113109,9.718037760024847e-6
22.csv,115964,c479-052,2,2.5,0.5,0.001,1.0,-0.10883725388188877,277.4065523408,0.6124218640912524,32,1767,-0.10885753951466891,6.859390864206653e-5,-0.10883757511173216,9.887223935231193e-6
22.csv,115964,c479-052,3,0.001,1.0,0.001,20.0,-0.1094646158214613,156.23171714,0.35656744862592227,32,105,-0.10894104613089566,9.138054659103916e-5,-0.10945819487778596,9.989627119404258e-6
22.csv,115964,c479-052,4,1.25,1.0,5.0,1.0,-0.10876667809322116,59.0446954312,1.299790610105084,32,1515,-0.10875909236877214,9.087867366588634e-6,-0.10876579362531653,6.154463305616469e-6
22.csv,115964,c479-052,1,2.5,5.0,0.25,0.5,-0.10876742974678175,80.6049142798,0.4414594601525669,33,1920,-0.10876077314865785,1.039221592115901e-5,-0.10876410240020128,6.834250569783283e-6
22.csv,115964,c479-052,2,5.0,1.0,0.25,0.001,-0.10876627251008834,212.011641086,0.34601192315842366,33,2164,-0.10878980811193528,3.092858070738854e-5,-0.10876840028545275,8.36398174295281e-6
22.csv,115964,c479-052,3,5.0,0.5,0.25,1.0,-0.10876605673207888,125.16686422159998,1.0585115873361404,33,2117,-0.10876894313465046,2.1902945363491755e-5,-0.10876844989179858,8.655128545015408e-6
22.csv,115964,c479-052,4,0.001,1.0,0.75,10.0,-0.10945549927018253,300.1586043924,3.4835402277099474,33,125,-0.10895817655783269,9.077217469607399e-5,-0.10944931737290774,9.988781163750659e-6
